"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","9","totale","Y19","19 anni","99","totale","2020","2020",10944,,
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","9","totale","Y19","19 anni","99","totale","2020","2020",40826,,
"ITE1","Toscana","JAN","popolazione al 1º gennaio","9","totale","Y19","19 anni","99","totale","2020","2020",33175,,
"ITE2","Umbria","JAN","popolazione al 1º gennaio","9","totale","Y19","19 anni","99","totale","2020","2020",7825,,
"ITE3","Marche","JAN","popolazione al 1º gennaio","9","totale","Y19","19 anni","99","totale","2020","2020",14274,,
"ITE4","Lazio","JAN","popolazione al 1º gennaio","9","totale","Y19","19 anni","99","totale","2020","2020",53789,,
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","9","totale","Y19","19 anni","99","totale","2020","2020",12059,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","9","totale","Y19","19 anni","99","totale","2020","2020",2867,,
"ITF3","Campania","JAN","popolazione al 1º gennaio","9","totale","Y19","19 anni","99","totale","2020","2020",67244,,
"ITF4","Puglia","JAN","popolazione al 1º gennaio","9","totale","Y19","19 anni","99","totale","2020","2020",43127,,
"ITF5","Basilicata","JAN","popolazione al 1º gennaio","9","totale","Y19","19 anni","99","totale","2020","2020",5748,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","Y19","19 anni","99","totale","2020","2020",20067,,
"ITG1","Sicilia","JAN","popolazione al 1º gennaio","9","totale","Y19","19 anni","99","totale","2020","2020",53999,,
"ITG2","Sardegna","JAN","popolazione al 1º gennaio","9","totale","Y19","19 anni","99","totale","2020","2020",14441,,
"ITC1","Piemonte","JAN","popolazione al 1º gennaio","9","totale","Y20","20 anni","99","totale","2020","2020",39254,,
"ITC3","Liguria","JAN","popolazione al 1º gennaio","9","totale","Y20","20 anni","99","totale","2020","2020",13138,,
"ITC4","Lombardia","JAN","popolazione al 1º gennaio","9","totale","Y20","20 anni","99","totale","2020","2020",95790,,
"ITD2","Provincia Autonoma Trento","JAN","popolazione al 1º gennaio","9","totale","Y20","20 anni","99","totale","2020","2020",5724,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","9","totale","Y20","20 anni","99","totale","2020","2020",1192,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","popolazione al 1º gennaio","9","totale","Y20","20 anni","99","totale","2020","2020",6056,,
"ITD3","Veneto","JAN","popolazione al 1º gennaio","9","totale","Y20","20 anni","99","totale","2020","2020",47264,,
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","9","totale","Y20","20 anni","99","totale","2020","2020",10586,,
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","9","totale","Y20","20 anni","99","totale","2020","2020",40128,,
"ITE1","Toscana","JAN","popolazione al 1º gennaio","9","totale","Y20","20 anni","99","totale","2020","2020",32503,,
"ITE2","Umbria","JAN","popolazione al 1º gennaio","9","totale","Y20","20 anni","99","totale","2020","2020",7818,,
"ITE3","Marche","JAN","popolazione al 1º gennaio","9","totale","Y20","20 anni","99","totale","2020","2020",14235,,
"ITE4","Lazio","JAN","popolazione al 1º gennaio","9","totale","Y20","20 anni","99","totale","2020","2020",53247,,
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","9","totale","Y20","20 anni","99","totale","2020","2020",12025,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","9","totale","Y20","20 anni","99","totale","2020","2020",2965,,
"ITF3","Campania","JAN","popolazione al 1º gennaio","9","totale","Y20","20 anni","99","totale","2020","2020",67525,,
"ITF4","Puglia","JAN","popolazione al 1º gennaio","9","totale","Y20","20 anni","99","totale","2020","2020",43140,,
"ITF5","Basilicata","JAN","popolazione al 1º gennaio","9","totale","Y20","20 anni","99","totale","2020","2020",5775,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","Y20","20 anni","99","totale","2020","2020",20051,,
