"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","9","totale","Y18","18 anni","99","totale","2020","2020",1183,,
"ITC3","Liguria","JAN","popolazione al 1º gennaio","9","totale","Y18","18 anni","99","totale","2020","2020",12942,,
"ITC4","Lombardia","JAN","popolazione al 1º gennaio","9","totale","Y18","18 anni","99","totale","2020","2020",94438,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","popolazione al 1º gennaio","9","totale","Y18","18 anni","99","totale","2020","2020",5886,,
"ITD2","Provincia Autonoma Trento","JAN","popolazione al 1º gennaio","9","totale","Y18","18 anni","99","totale","2020","2020",5610,,
"ITC1","Piemonte","JAN","popolazione al 1º gennaio","9","totale","Y19","19 anni","99","totale","2020","2020",39639,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","9","totale","Y19","19 anni","99","totale","2020","2020",1226,,
"ITC3","Liguria","JAN","popolazione al 1º gennaio","9","totale","Y19","19 anni","99","totale","2020","2020",13239,,
"ITC4","Lombardia","JAN","popolazione al 1º gennaio","9","totale","Y19","19 anni","99","totale","2020","2020",96559,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","popolazione al 1º gennaio","9","totale","Y19","19 anni","99","totale","2020","2020",6008,,
"ITD2","Provincia Autonoma Trento","JAN","popolazione al 1º gennaio","9","totale","Y19","19 anni","99","totale","2020","2020",5764,,
"ITD3","Veneto","JAN","popolazione al 1º gennaio","9","totale","Y19","19 anni","99","totale","2020","2020",47924,,
